date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse_tail(m)
2019-01-24,336917364.0192,352306298.88,2568900.0960000004,,3.99288
2019-01-25,337186486.8864,332733726.72,2568900.0960000004,,4.020312
2019-01-26,341810507.05920005,345211241.47199994,2568900.0960000004,,3.93192
2019-01-27,309222174.4128,306310754.304,2642297.2416000003,,3.648456
2019-01-28,328427760.84480006,309246640.128,2568900.0960000004,,3.584448
2019-01-29,336843966.8736,348881098.752,2593365.8112000003,,3.636264
2019-01-30,360135327.744,364049842.176,2593365.8112000003,,3.849624
2019-01-31,372319253.9136,352061641.72800004,2568900.0960000004,,4.02336
2019-02-01,318078763.3152,354997527.5519999,2568900.0960000004,,3.663696
2019-02-02,345969678.6432,347168498.688,2495502.9504,,3.895344
2019-02-03,320574266.2656,321968812.032,2519968.6656,,3.81
2019-02-04,337749198.336,339339469.82399994,2691228.6720000003,,3.925824
2019-02-05,363095679.2832,353284927.48800004,2617831.5264000003,,4.102608
2019-02-06,374937085.44,371144899.584,2617831.5264000003,,4.178808
2019-02-07,350569233.1008,338605498.36800003,2642297.2416000003,,3.892296
2019-02-08,336012132.55679995,348147127.296,2568900.0960000004,,3.74904
2019-02-09,332268878.1312,320500869.12,2568900.0960000004,,3.71856
2019-02-10,327253406.5152,325394012.16,2593365.8112000003,,3.7338
2019-02-11,320745526.272,320745526.272,1100957.184,,3.712464
2019-02-12,330556278.06720006,323192097.792,1492408.6271999998,,3.822192
2019-02-13,334568655.35999995,351816984.57600003,366985.728,,3.93192
2019-02-14,366716605.1327999,356954784.76799995,0.0,,4.09956
2019-02-15,310934774.4768,300194325.504,0.0,,3.864864
2019-02-16,312598443.1104,342275355.648,2324242.944,,3.752088000000001
2019-02-17,360282122.03519994,360135327.744,2715694.3872,,4.1452800000000005
2019-02-18,384503180.0832,381909814.272,2813557.248,,4.325112
2019-02-19,337357746.8928,340318098.432,2813557.248,,4.047744
2019-02-20,332684795.2896,325394012.16,2886954.3936,,3.941064
2019-02-21,311693211.648,309980611.584,2813557.248,,3.758184
2019-02-22,335743009.6896,340807412.736,2813557.248,,3.889248
2019-02-23,345480364.3392,358178070.528,2813557.248,,3.983736
2019-02-24,379389845.6064,375059414.016,2813557.248,,4.233672
2019-02-25,321724154.88,329308526.592,3033748.6848,,3.776472000000001
2019-02-26,356416539.0336001,362092584.96,2935885.824,,3.922776
2019-02-27,359132233.4208,353529584.64,2886954.3936,,3.941064
2019-02-28,318152160.4608,321479497.72800004,2838022.9632,,3.64236
2019-03-01,320721060.5568,298481725.43999994,2813557.248,,3.557016
2019-03-02,328354363.6992,298726382.59199995,3033748.6848,,3.5966400000000003
2019-03-03,324121794.9696,309980611.584,3156077.2608,,3.541776
2019-03-04,334250601.0624,348881098.752,3009282.9696,,3.61188
2019-03-05,350985150.25920004,371389556.73600006,3033748.6848,,3.742944
2019-03-06,369114245.2224,383867071.488,3058214.4,,3.989832
2019-03-07,428198947.4304001,417385101.312,3058214.4,,4.55676
2019-03-08,411684589.6704,390472814.592,3082680.1152,,4.46532
2019-03-09,436125839.1552,403439643.648,3033748.6848,,4.63296
2019-03-10,381665157.12000006,383867071.488,3058214.4,,4.191
2019-03-11,306971328.6144,324415383.552,2838022.9632,,3.514344
2019-03-12,301099556.9664,298481725.43999994,3058214.4,,3.514344
2019-03-13,305381057.1264,310714583.04,3033748.6848,,3.508248
2019-03-14,313454743.1424,296524468.22400004,2960351.5391999995,3.2,3.4960560000000003
2019-03-15,318176626.17600006,330531812.352,2960351.5391999995,3.33,3.5052000000000003
2019-03-16,319717966.2336,290163382.272,3205008.6912,3.57,3.511296
2019-03-17,319644569.088,351572327.424,2960351.5391999995,3.85,3.5052000000000003
2019-03-18,317760709.0176,331999755.264,2519968.6656,4.08,3.508248
