date,max_temp(C),min_temp(C),avg_temp(C)
2009-05-28 00:00:00+00:00,16.0,14.2,14.9
2009-05-29 00:00:00+00:00,16.4,14.9,15.4
2009-05-30 00:00:00+00:00,16.6,15.1,15.6
2009-05-31 00:00:00+00:00,16.8,15.4,15.9
2009-06-01 00:00:00+00:00,16.8,15.6,16.1
2009-06-02 00:00:00+00:00,16.3,15.9,16.0
2009-06-03 00:00:00+00:00,16.4,15.6,15.9
2009-06-04 00:00:00+00:00,17.1,15.7,16.1
2009-06-05 00:00:00+00:00,16.2,15.8,16.0
2009-06-06 00:00:00+00:00,16.4,15.5,15.8
2009-06-07 00:00:00+00:00,15.6,15.1,15.4
2009-06-08 00:00:00+00:00,16.7,14.9,15.7
2009-06-09 00:00:00+00:00,16.8,15.2,16.0
2009-06-11 00:00:00+00:00,16.6,15.9,16.2
2009-06-12 00:00:00+00:00,17.8,15.9,16.5
2009-06-13 00:00:00+00:00,17.4,15.9,16.6
2009-06-14 00:00:00+00:00,17.5,16.2,16.6
2009-06-15 00:00:00+00:00,17.8,16.2,16.6
2009-06-16 00:00:00+00:00,17.4,16.2,16.7
2009-06-17 00:00:00+00:00,17.7,16.2,16.9
2009-06-18 00:00:00+00:00,18.0,16.6,17.1
2009-06-19 00:00:00+00:00,17.9,16.4,17.2
2009-06-20 00:00:00+00:00,18.0,16.0,17.1
2009-06-21 00:00:00+00:00,18.2,15.6,16.9
2009-06-22 00:00:00+00:00,18.4,16.1,17.1
2009-06-23 00:00:00+00:00,18.3,16.0,17.2
2009-06-24 00:00:00+00:00,17.6,16.5,17.1
2009-06-25 00:00:00+00:00,17.9,16.7,17.3
2009-06-26 00:00:00+00:00,18.2,16.3,17.2
2009-06-27 00:00:00+00:00,19.0,16.4,17.4
2009-06-28 00:00:00+00:00,20.0,17.3,17.9
2009-06-29 00:00:00+00:00,20.2,16.2,17.9
2009-06-30 00:00:00+00:00,20.2,15.7,17.8
2009-07-01 00:00:00+00:00,19.2,16.2,17.8
2009-07-02 00:00:00+00:00,19.4,16.8,18.2
2009-07-03 00:00:00+00:00,21.6,17.4,18.8
2009-07-04 00:00:00+00:00,21.9,17.5,19.1
2009-07-05 00:00:00+00:00,20.9,17.8,19.2
2009-07-06 00:00:00+00:00,19.6,17.5,18.8
2009-07-07 00:00:00+00:00,19.8,17.4,18.8
2009-07-08 00:00:00+00:00,19.3,17.2,18.6
2009-07-09 00:00:00+00:00,19.8,17.8,18.8
2009-07-10 00:00:00+00:00,20.5,17.8,19.2
2009-07-11 00:00:00+00:00,20.1,18.3,19.2
2009-07-12 00:00:00+00:00,19.4,18.3,19.0
2009-07-13 00:00:00+00:00,19.4,18.0,18.8
2009-07-14 00:00:00+00:00,20.6,17.8,19.2
2009-07-15 00:00:00+00:00,21.4,18.7,19.7
2009-07-16 00:00:00+00:00,21.3,19.1,19.9
2009-07-17 00:00:00+00:00,22.0,19.6,20.4
2009-07-18 00:00:00+00:00,23.2,19.1,20.5
2009-07-19 00:00:00+00:00,23.2,18.1,20.2
2009-07-20 00:00:00+00:00,23.1,18.3,20.5
2009-07-21 00:00:00+00:00,22.4,18.8,20.6
2009-07-22 00:00:00+00:00,21.0,18.8,20.1
2009-07-24 00:00:00+00:00,21.7,19.0,20.5
2009-07-25 00:00:00+00:00,21.4,19.6,20.6
2009-07-26 00:00:00+00:00,22.0,19.8,20.8
2009-07-27 00:00:00+00:00,22.7,20.5,21.4
2009-07-28 00:00:00+00:00,23.6,21.6,22.4
2009-07-29 00:00:00+00:00,24.0,22.3,22.9
2009-07-30 00:00:00+00:00,24.2,21.2,22.5
2009-07-31 00:00:00+00:00,24.8,20.4,22.5
2009-08-01 00:00:00+00:00,25.3,20.4,22.7
2009-08-02 00:00:00+00:00,24.5,20.2,22.4
2009-08-03 00:00:00+00:00,24.5,19.7,22.3
2009-08-04 00:00:00+00:00,24.1,19.8,22.2
2009-08-05 00:00:00+00:00,23.8,19.8,22.1
2009-08-06 00:00:00+00:00,23.1,19.4,21.6
2009-08-07 00:00:00+00:00,22.7,19.3,21.4
2009-08-08 00:00:00+00:00,22.3,19.8,21.2
2009-08-09 00:00:00+00:00,21.9,20.3,21.2
2009-08-10 00:00:00+00:00,21.8,19.6,20.9
2009-08-11 00:00:00+00:00,21.5,20.3,21.0
2009-08-12 00:00:00+00:00,21.5,20.2,20.9
2011-03-30 00:00:00+00:00,8.1,6.6,7.1
2011-03-31 00:00:00+00:00,9.2,7.0,7.5
2011-04-01 00:00:00+00:00,9.5,7.4,7.9
2011-04-02 00:00:00+00:00,9.2,7.2,7.9
2011-04-03 00:00:00+00:00,8.6,7.1,7.8
2011-04-04 00:00:00+00:00,8.0,7.5,7.7
2011-04-05 00:00:00+00:00,8.4,7.4,7.8
2011-04-06 00:00:00+00:00,8.3,7.5,7.9
2011-04-07 00:00:00+00:00,8.4,7.4,7.9
2011-04-08 00:00:00+00:00,8.8,7.2,8.1
2011-04-09 00:00:00+00:00,9.0,8.0,8.4
2011-04-10 00:00:00+00:00,8.6,8.3,8.5
2011-04-11 00:00:00+00:00,9.0,8.2,8.5
2011-04-12 00:00:00+00:00,9.1,8.1,8.4
2011-04-13 00:00:00+00:00,9.0,8.2,8.4
2011-04-14 00:00:00+00:00,8.6,7.9,8.3
2011-04-15 00:00:00+00:00,9.4,7.9,8.4
2011-04-16 00:00:00+00:00,10.0,8.2,8.6
2011-04-17 00:00:00+00:00,10.5,7.4,8.6
2011-04-18 00:00:00+00:00,10.0,7.6,8.6
2011-04-19 00:00:00+00:00,10.1,8.0,8.8
2011-04-20 00:00:00+00:00,9.7,8.2,8.9
2011-04-21 00:00:00+00:00,9.5,8.3,8.9
2011-04-22 00:00:00+00:00,10.3,8.3,9.0
2011-04-23 00:00:00+00:00,10.8,8.3,9.2
2011-04-24 00:00:00+00:00,9.9,9.1,9.4
2011-06-22 00:00:00+00:00,15.9,14.8,15.3
2011-06-23 00:00:00+00:00,15.8,15.0,15.3
2011-06-24 00:00:00+00:00,16.0,15.0,15.4
2011-06-25 00:00:00+00:00,16.2,14.9,15.4
2011-06-26 00:00:00+00:00,16.3,14.9,15.6
2011-06-27 00:00:00+00:00,16.0,15.4,15.7
2011-06-28 00:00:00+00:00,16.3,15.5,15.9
2011-06-29 00:00:00+00:00,16.3,15.6,15.9
