date,max_temp(C),min_temp(C),avg_temp(C)
1996-03-07 00:00:00+00:00,5.4,4.7,5.0
1996-03-08 00:00:00+00:00,5.8,5.1,5.4
1996-03-09 00:00:00+00:00,5.8,5.2,5.5
1996-03-10 00:00:00+00:00,6.0,5.5,5.8
1996-03-11 00:00:00+00:00,6.4,5.6,6.0
1996-03-12 00:00:00+00:00,6.5,5.8,6.2
1996-03-13 00:00:00+00:00,6.8,5.8,6.2
1996-03-14 00:00:00+00:00,6.8,5.9,6.4
1996-03-15 00:00:00+00:00,6.9,6.3,6.6
1996-03-16 00:00:00+00:00,6.9,6.2,6.5
1996-03-17 00:00:00+00:00,7.2,6.4,6.7
1996-03-18 00:00:00+00:00,7.5,6.5,6.9
1996-03-19 00:00:00+00:00,7.5,6.9,7.2
1996-03-20 00:00:00+00:00,7.6,6.9,7.2
1996-03-21 00:00:00+00:00,7.5,6.9,7.2
1996-03-22 00:00:00+00:00,7.6,6.8,7.2
1996-03-23 00:00:00+00:00,7.7,7.0,7.3
1996-03-24 00:00:00+00:00,8.0,7.1,7.6
1996-03-25 00:00:00+00:00,7.8,7.0,7.4
1996-03-26 00:00:00+00:00,7.7,7.1,7.4
1996-03-27 00:00:00+00:00,7.6,7.2,7.4
1996-03-28 00:00:00+00:00,7.9,7.1,7.5
1996-03-29 00:00:00+00:00,7.9,7.4,7.6
1996-03-30 00:00:00+00:00,8.0,7.3,7.5
1996-03-31 00:00:00+00:00,7.8,7.3,7.5
1996-04-01 00:00:00+00:00,8.0,7.3,7.6
1996-04-02 00:00:00+00:00,8.2,7.4,7.7
1996-04-03 00:00:00+00:00,8.4,7.5,7.9
1996-04-04 00:00:00+00:00,8.5,7.7,8.1
1996-04-05 00:00:00+00:00,9.1,8.1,8.6
1996-04-06 00:00:00+00:00,9.2,8.4,8.8
1996-04-07 00:00:00+00:00,9.9,8.5,9.2
1996-04-08 00:00:00+00:00,10.1,9.0,9.6
1996-04-09 00:00:00+00:00,10.1,9.2,9.8
1996-04-10 00:00:00+00:00,10.2,9.5,9.9
1996-04-11 00:00:00+00:00,10.0,9.6,9.7
1996-04-12 00:00:00+00:00,9.8,9.2,9.5
1996-04-13 00:00:00+00:00,10.1,9.2,9.6
1996-04-14 00:00:00+00:00,10.5,9.5,9.9
1996-04-15 00:00:00+00:00,11.0,10.0,10.4
1996-04-16 00:00:00+00:00,10.9,10.3,10.6
1996-04-17 00:00:00+00:00,10.7,10.2,10.5
1996-04-18 00:00:00+00:00,10.5,10.0,10.2
1996-04-19 00:00:00+00:00,10.6,10.0,10.3
1996-04-20 00:00:00+00:00,10.5,9.9,10.2
1996-04-21 00:00:00+00:00,10.6,10.0,10.3
1996-05-10 00:00:00+00:00,13.7,10.9,12.2
1996-05-11 00:00:00+00:00,15.7,12.3,13.4
1996-05-12 00:00:00+00:00,14.9,12.0,12.9
1996-05-13 00:00:00+00:00,14.0,11.5,12.4
1996-05-14 00:00:00+00:00,14.0,11.0,11.9
1996-05-15 00:00:00+00:00,14.5,11.1,12.2
1996-05-16 00:00:00+00:00,13.5,11.3,12.2
1996-05-17 00:00:00+00:00,13.6,11.1,12.4
1996-05-18 00:00:00+00:00,13.5,10.9,11.9
1996-05-19 00:00:00+00:00,12.6,10.6,11.8
1996-05-20 00:00:00+00:00,13.6,11.8,12.6
1996-05-21 00:00:00+00:00,14.7,12.6,13.9
1996-05-22 00:00:00+00:00,15.3,13.3,14.5
1996-05-25 00:00:00+00:00,14.4,12.2,13.0
1996-05-26 00:00:00+00:00,15.1,12.5,13.7
1996-05-27 00:00:00+00:00,14.1,12.1,13.2
1996-05-28 00:00:00+00:00,14.0,12.4,13.3
1996-06-29 00:00:00+00:00,17.1,16.3,16.6
1996-06-30 00:00:00+00:00,17.4,16.5,17.0
1996-07-01 00:00:00+00:00,18.0,17.0,17.5
1996-07-02 00:00:00+00:00,18.0,17.5,17.7
1996-07-03 00:00:00+00:00,18.0,17.5,17.8
1996-07-04 00:00:00+00:00,18.3,17.7,18.0
1996-07-05 00:00:00+00:00,18.5,17.8,18.2
1996-07-06 00:00:00+00:00,18.6,17.8,18.3
1996-07-07 00:00:00+00:00,18.9,18.0,18.4
1996-07-08 00:00:00+00:00,19.1,18.4,18.7
1996-07-09 00:00:00+00:00,19.1,18.5,18.8
1996-07-10 00:00:00+00:00,19.6,18.6,19.0
1996-07-11 00:00:00+00:00,19.9,18.9,19.3
