date,avg discharge (cfs),outflow(m3/d)
1986-02-22 00:00:00+00:00,78.3,191566.550016
1986-02-23 00:00:00+00:00,78.9,193034.492928
1986-02-24 00:00:00+00:00,76.3,186673.406976
1986-02-25 00:00:00+00:00,74.4,182024.921088
1986-02-26 00:00:00+00:00,73.6,180067.66387199998
1986-02-27 00:00:00+00:00,72.6,177621.09235199998
1986-02-28 00:00:00+00:00,71.8,175663.83513599998
1986-03-01 00:00:00+00:00,71.0,173706.57792
1986-03-02 00:00:00+00:00,69.5,170036.72064
1986-03-03 00:00:00+00:00,67.8,165877.549056
1986-03-04 00:00:00+00:00,66.9,163675.63468800002
1986-03-05 00:00:00+00:00,65.8,160984.406016
1986-03-06 00:00:00+00:00,64.7,158293.177344
1986-03-07 00:00:00+00:00,65.2,159516.463104
1986-03-08 00:00:00+00:00,65.0,159027.1488
1986-03-09 00:00:00+00:00,64.6,158048.52019199997
1986-03-10 00:00:00+00:00,63.8,156091.262976
1986-03-11 00:00:00+00:00,62.6,153155.377152
1986-03-12 00:00:00+00:00,61.7,150953.462784
1986-03-13 00:00:00+00:00,61.5,150464.14848
1986-03-14 00:00:00+00:00,61.6,150708.805632
1986-03-15 00:00:00+00:00,60.8,148751.54841599998
1986-03-16 00:00:00+00:00,59.8,146304.97689599998
1986-03-17 00:00:00+00:00,58.5,143124.43391999998
1986-03-18 00:00:00+00:00,57.8,141411.833856
1986-03-19 00:00:00+00:00,57.7,141167.176704
1986-03-20 00:00:00+00:00,57.2,139943.890944
1986-03-21 00:00:00+00:00,54.9,134316.776448
1986-03-22 00:00:00+00:00,53.5,130891.57632
1986-03-23 00:00:00+00:00,53.2,130157.604864
1986-03-24 00:00:00+00:00,55.2,135050.74790400002
1986-03-25 00:00:00+00:00,54.3,132848.833536
1986-03-26 00:00:00+00:00,52.3,127955.690496
1986-03-27 00:00:00+00:00,52.8,129178.976256
1986-03-28 00:00:00+00:00,64.3,157314.548736
1986-03-29 00:00:00+00:00,62.9,153889.34860799997
1986-03-30 00:00:00+00:00,63.4,155112.634368
1986-03-31 00:00:00+00:00,51.6,126243.090432
1986-04-01 00:00:00+00:00,55.1,134806.090752
1986-04-02 00:00:00+00:00,61.7,150953.462784
1986-04-03 00:00:00+00:00,81.9,200374.207488
1986-04-04 00:00:00+00:00,83.9,205267.350528
1986-04-05 00:00:00+00:00,95.0,232424.2944
1986-04-06 00:00:00+00:00,98.6,241231.951872
1986-04-07 00:00:00+00:00,89.6,219212.808192
1986-04-08 00:00:00+00:00,99.0,242210.58048
1986-04-09 00:00:00+00:00,108.0,264229.72416
1986-04-10 00:00:00+00:00,112.0,274016.01024
1986-04-11 00:00:00+00:00,138.0,337626.86976
1986-04-12 00:00:00+00:00,157.0,384111.72864
1986-04-13 00:00:00+00:00,164.0,401237.72928
1986-04-14 00:00:00+00:00,165.0,403684.3008
1986-04-15 00:00:00+00:00,143.0,349859.72736
1986-04-16 00:00:00+00:00,122.0,298481.72543999995
1986-04-17 00:00:00+00:00,133.0,325394.01216
1986-04-18 00:00:00+00:00,135.0,330287.1552
1986-04-19 00:00:00+00:00,136.0,332733.72672
1986-04-20 00:00:00+00:00,121.0,296035.15392
1986-04-21 00:00:00+00:00,121.0,296035.15392
1986-04-22 00:00:00+00:00,128.0,313161.15456
1986-04-23 00:00:00+00:00,117.0,286248.86784
1986-04-24 00:00:00+00:00,129.0,315607.72608
1986-04-25 00:00:00+00:00,138.0,337626.86976
1986-04-26 00:00:00+00:00,149.0,364539.15648
1986-04-27 00:00:00+00:00,144.0,352306.29888
1986-04-28 00:00:00+00:00,162.0,396344.58624
1986-04-29 00:00:00+00:00,169.0,413470.58688
1986-04-30 00:00:00+00:00,157.0,384111.72864
1986-05-01 00:00:00+00:00,157.0,384111.72864
1986-05-02 00:00:00+00:00,145.0,354752.8704
1986-05-03 00:00:00+00:00,151.0,369432.29952
1986-05-04 00:00:00+00:00,144.0,352306.29888
1986-05-05 00:00:00+00:00,162.0,396344.58624
1986-05-06 00:00:00+00:00,181.0,442829.44512
1986-05-07 00:00:00+00:00,174.0,425703.44448
1986-05-08 00:00:00+00:00,160.0,391451.4432
1986-05-09 00:00:00+00:00,158.0,386558.30016
1986-05-10 00:00:00+00:00,168.0,411024.01536
1986-05-11 00:00:00+00:00,173.0,423256.87296
1986-05-12 00:00:00+00:00,172.0,420810.30144
1986-05-13 00:00:00+00:00,175.0,428150.016
1986-05-14 00:00:00+00:00,176.0,430596.58752
1986-05-15 00:00:00+00:00,157.0,384111.72864
1986-05-16 00:00:00+00:00,155.0,379218.5856
1986-05-17 00:00:00+00:00,165.0,403684.3008
1986-05-18 00:00:00+00:00,192.0,469741.73184
1986-05-19 00:00:00+00:00,196.0,479528.01792
1986-05-20 00:00:00+00:00,205.0,501547.1616
1986-05-21 00:00:00+00:00,210.0,513780.0192
1986-05-22 00:00:00+00:00,204.0,499100.59008
1986-05-23 00:00:00+00:00,202.0,494207.44704
1986-05-24 00:00:00+00:00,192.0,469741.73184
1986-05-25 00:00:00+00:00,185.0,452615.7312
1986-05-26 00:00:00+00:00,182.0,445276.01664
1986-05-27 00:00:00+00:00,189.0,462402.01728
1986-05-28 00:00:00+00:00,173.0,423256.87296
1986-05-29 00:00:00+00:00,171.0,418363.72992
1986-05-30 00:00:00+00:00,181.0,442829.44512
1986-05-31 00:00:00+00:00,203.0,496654.01856
1986-06-01 00:00:00+00:00,208.0,508886.87616
1986-06-02 00:00:00+00:00,174.0,425703.44448
1986-06-03 00:00:00+00:00,170.0,415917.1584
1986-06-04 00:00:00+00:00,160.0,391451.4432
1986-06-05 00:00:00+00:00,176.0,430596.58752
1986-06-06 00:00:00+00:00,181.0,442829.44512
1986-06-07 00:00:00+00:00,194.0,474634.87488
1986-06-08 00:00:00+00:00,208.0,508886.87616
1986-06-09 00:00:00+00:00,209.0,511333.44768
1986-06-10 00:00:00+00:00,208.0,508886.87616
1986-06-11 00:00:00+00:00,188.0,459955.44576
1986-06-12 00:00:00+00:00,163.0,398791.15776
1986-06-13 00:00:00+00:00,153.0,374325.44256
1986-06-14 00:00:00+00:00,169.0,413470.58688
1986-06-15 00:00:00+00:00,254.0,621429.16608
1986-06-16 00:00:00+00:00,229.0,560264.8780799999
1986-06-17 00:00:00+00:00,191.0,467295.16032
1986-06-18 00:00:00+00:00,203.0,496654.01856
1986-06-19 00:00:00+00:00,212.0,518673.16224
1986-06-20 00:00:00+00:00,222.0,543138.8774400001
1986-06-21 00:00:00+00:00,232.0,567604.59264
1986-06-22 00:00:00+00:00,238.0,582284.02176
1986-06-23 00:00:00+00:00,227.0,555371.73504
1986-06-24 00:00:00+00:00,211.0,516226.59072
1986-06-25 00:00:00+00:00,185.0,452615.7312
1986-06-26 00:00:00+00:00,187.0,457508.87424
1986-06-27 00:00:00+00:00,210.0,513780.0192
1986-06-28 00:00:00+00:00,222.0,543138.8774400001
1986-06-29 00:00:00+00:00,254.0,621429.16608
1986-06-30 00:00:00+00:00,261.0,638555.16672
1986-07-01 00:00:00+00:00,254.0,621429.16608
1986-07-02 00:00:00+00:00,231.0,565158.02112
1986-07-03 00:00:00+00:00,231.0,565158.02112
1986-07-04 00:00:00+00:00,244.0,596963.4508799999
1986-07-05 00:00:00+00:00,261.0,638555.16672
1986-07-06 00:00:00+00:00,288.0,704612.59776
1986-07-07 00:00:00+00:00,263.0,643448.30976
1986-07-08 00:00:00+00:00,232.0,567604.59264
1986-07-09 00:00:00+00:00,216.0,528459.44832
1986-07-10 00:00:00+00:00,218.0,533352.59136
1986-07-11 00:00:00+00:00,231.0,565158.02112
1986-07-12 00:00:00+00:00,219.0,535799.16288
1986-07-13 00:00:00+00:00,221.0,540692.30592
1986-07-14 00:00:00+00:00,221.0,540692.30592
1986-07-15 00:00:00+00:00,228.0,557818.3065599999
1986-07-16 00:00:00+00:00,235.0,574944.3071999999
1986-07-17 00:00:00+00:00,247.0,604303.16544
1986-07-18 00:00:00+00:00,247.0,604303.16544
1986-07-19 00:00:00+00:00,227.0,555371.73504
1986-07-20 00:00:00+00:00,235.0,574944.3071999999
1986-07-21 00:00:00+00:00,255.0,623875.7376
1986-07-22 00:00:00+00:00,223.0,545585.44896
1986-07-23 00:00:00+00:00,233.0,570051.16416
1986-07-24 00:00:00+00:00,252.0,616536.02304
1986-07-25 00:00:00+00:00,249.0,609196.30848
1986-07-26 00:00:00+00:00,260.0,636108.5952
1986-07-27 00:00:00+00:00,278.0,680146.88256
1986-07-28 00:00:00+00:00,288.0,704612.59776
1986-07-29 00:00:00+00:00,285.0,697272.8831999999
1986-07-30 00:00:00+00:00,282.0,689933.16864
1986-07-31 00:00:00+00:00,276.0,675253.73952
1986-08-01 00:00:00+00:00,278.0,680146.88256
1986-08-02 00:00:00+00:00,275.0,672807.168
1986-08-03 00:00:00+00:00,259.0,633662.02368
1986-08-04 00:00:00+00:00,251.0,614089.45152
1986-08-05 00:00:00+00:00,245.0,599410.0224
1986-08-06 00:00:00+00:00,234.0,572497.7356799999
1986-08-07 00:00:00+00:00,230.0,562711.4495999999
1986-08-08 00:00:00+00:00,220.0,538245.7344
1986-08-09 00:00:00+00:00,231.0,565158.02112
1986-08-10 00:00:00+00:00,252.0,616536.02304
1986-08-11 00:00:00+00:00,247.0,604303.16544
1986-08-12 00:00:00+00:00,243.0,594516.87936
1986-08-13 00:00:00+00:00,237.0,579837.45024
1986-08-14 00:00:00+00:00,238.0,582284.02176
1986-08-15 00:00:00+00:00,253.0,618982.59456
1986-08-16 00:00:00+00:00,258.0,631215.45216
1986-08-17 00:00:00+00:00,264.0,645894.88128
1986-08-18 00:00:00+00:00,269.0,658127.73888
1986-08-19 00:00:00+00:00,266.0,650788.02432
1986-08-20 00:00:00+00:00,262.0,641001.73824
1986-08-21 00:00:00+00:00,256.0,626322.30912
1986-08-22 00:00:00+00:00,253.0,618982.59456
1986-08-23 00:00:00+00:00,251.0,614089.45152
1986-08-24 00:00:00+00:00,259.0,633662.02368
1986-08-25 00:00:00+00:00,251.0,614089.45152
1986-08-26 00:00:00+00:00,248.0,606749.73696
1986-08-27 00:00:00+00:00,238.0,582284.02176
1986-08-28 00:00:00+00:00,222.0,543138.8774400001
1986-08-29 00:00:00+00:00,236.0,577390.87872
1986-08-30 00:00:00+00:00,235.0,574944.3071999999
1986-08-31 00:00:00+00:00,259.0,633662.02368
1986-09-01 00:00:00+00:00,246.0,601856.59392
1986-09-02 00:00:00+00:00,231.0,565158.02112
1986-09-03 00:00:00+00:00,231.0,565158.02112
1986-09-04 00:00:00+00:00,250.0,611642.88
1986-09-05 00:00:00+00:00,244.0,596963.4508799999
1986-09-06 00:00:00+00:00,239.0,584730.5932799999
1986-09-07 00:00:00+00:00,242.0,592070.30784
1986-09-08 00:00:00+00:00,259.0,633662.02368
1986-09-09 00:00:00+00:00,243.0,594516.87936
1986-09-10 00:00:00+00:00,236.0,577390.87872
1986-09-11 00:00:00+00:00,241.0,589623.73632
1986-09-12 00:00:00+00:00,245.0,599410.0224
1986-09-13 00:00:00+00:00,261.0,638555.16672
1986-09-14 00:00:00+00:00,264.0,645894.88128
1986-09-15 00:00:00+00:00,262.0,641001.73824
1986-09-16 00:00:00+00:00,265.0,648341.4528
1986-09-17 00:00:00+00:00,263.0,643448.30976
1986-09-18 00:00:00+00:00,267.0,653234.59584
1986-09-19 00:00:00+00:00,267.0,653234.59584
1986-09-20 00:00:00+00:00,257.0,628768.88064
1986-09-21 00:00:00+00:00,243.0,594516.87936
1986-09-22 00:00:00+00:00,246.0,601856.59392
1986-09-23 00:00:00+00:00,250.0,611642.88
1986-09-24 00:00:00+00:00,274.0,670360.59648
1986-09-25 00:00:00+00:00,280.0,685040.0255999999
1986-09-26 00:00:00+00:00,272.0,665467.45344
1986-09-27 00:00:00+00:00,265.0,648341.4528
1986-09-28 00:00:00+00:00,264.0,645894.88128
1986-09-29 00:00:00+00:00,267.0,653234.59584
1986-09-30 00:00:00+00:00,258.0,631215.45216
1986-10-01 00:00:00+00:00,250.0,611642.88
1986-10-02 00:00:00+00:00,233.0,570051.16416
1986-10-03 00:00:00+00:00,228.0,557818.3065599999
